n_cells,seed,strategy,metric,dist
20,13,hamming,transfer_distance,
20,13,hamming_max_lca,rf_distance,0.13043478260869565
20,13,hamming_max_lca,quartet_distance,0.046822742474916385
20,13,hamming_max_lca,triplet_distance,0.165
20,13,hamming_max_lca,transfer_distance,
20,13,nll,rf_distance,0.13043478260869565
20,13,nll,quartet_distance,0.043010033444816055
20,13,nll,triplet_distance,0.13576923076923078
20,13,nll,transfer_distance,
20,13,nll_max_lca,rf_distance,0.13043478260869565
20,13,nll_max_lca,quartet_distance,0.043010033444816055
20,13,nll_max_lca,triplet_distance,0.13576923076923078
20,13,nll_max_lca,transfer_distance,
20,14,dlca_nj,rf_distance,0.13043478260869565
20,14,dlca_nj,quartet_distance,0.037926421404682276
20,14,dlca_nj,triplet_distance,0.12846153846153846
20,14,dlca_nj,transfer_distance,
20,14,srnj_min_D,rf_distance,0.13043478260869565
20,14,srnj_min_D,quartet_distance,0.04555183946488294
20,14,srnj_min_D,triplet_distance,0.14307692307692307
20,14,srnj_min_D,transfer_distance,
20,14,srnj_max_lca,rf_distance,0.13043478260869565
20,14,srnj_max_lca,quartet_distance,0.03411371237458194
20,14,srnj_max_lca,triplet_distance,0.12115384615384615
20,14,srnj_max_lca,transfer_distance,
20,14,gt_min,rf_distance,0.08695652173913043
20,14,gt_min,quartet_distance,0.027759197324414717
20,14,gt_min,triplet_distance,0.11384615384615385
20,14,gt_min,transfer_distance,
20,14,gt_max_lca,rf_distance,0.13043478260869565
20,14,gt_max_lca,quartet_distance,0.03919732441471572
20,14,gt_max_lca,triplet_distance,0.12846153846153846
20,14,gt_max_lca,transfer_distance,
20,14,hamming,rf_distance,0.13043478260869565
20,14,hamming,quartet_distance,0.03919732441471572
20,14,hamming,triplet_distance,0.12846153846153846
20,14,hamming,transfer_distance,
20,14,hamming_max_lca,rf_distance,0.13043478260869565
20,14,hamming_max_lca,quartet_distance,0.03919732441471572
20,14,hamming_max_lca,triplet_distance,0.12846153846153846
20,14,hamming_max_lca,transfer_distance,
20,14,nll,rf_distance,0.13043478260869565
20,14,nll,quartet_distance,0.03411371237458194
20,14,nll,triplet_distance,0.12115384615384615
20,14,nll,transfer_distance,
20,14,nll_max_lca,rf_distance,0.13043478260869565
20,14,nll_max_lca,quartet_distance,0.043010033444816055
20,14,nll_max_lca,triplet_distance,0.13576923076923078
20,14,nll_max_lca,transfer_distance,
20,15,dlca_nj,rf_distance,0.13043478260869565
20,15,dlca_nj,quartet_distance,0.037926421404682276
20,15,dlca_nj,triplet_distance,0.12846153846153846
20,15,dlca_nj,transfer_distance,
20,15,srnj_min_D,rf_distance,0.13043478260869565
20,15,srnj_min_D,quartet_distance,0.03919732441471572
20,15,srnj_min_D,triplet_distance,0.12846153846153846
20,15,srnj_min_D,transfer_distance,
20,15,srnj_max_lca,rf_distance,0.13043478260869565
20,15,srnj_max_lca,quartet_distance,0.043010033444816055
20,15,srnj_max_lca,triplet_distance,0.13576923076923078
20,15,srnj_max_lca,transfer_distance,
20,15,gt_min,rf_distance,0.13043478260869565
20,15,gt_min,quartet_distance,0.046822742474916385
20,15,gt_min,triplet_distance,0.165
20,15,gt_min,transfer_distance,
20,15,gt_max_lca,rf_distance,0.13043478260869565
20,15,gt_max_lca,quartet_distance,0.043010033444816055
20,15,gt_max_lca,triplet_distance,0.13576923076923078
20,15,gt_max_lca,transfer_distance,
20,15,hamming,rf_distance,0.13043478260869565
20,15,hamming,quartet_distance,0.043010033444816055
20,15,hamming,triplet_distance,0.13576923076923078
20,15,hamming,transfer_distance,
20,15,hamming_max_lca,rf_distance,0.13043478260869565
20,15,hamming_max_lca,quartet_distance,0.037926421404682276
20,15,hamming_max_lca,triplet_distance,0.12846153846153846
20,15,hamming_max_lca,transfer_distance,
