seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
5,20,1000,6,2,10,sconce2,srnj,0.0439,0.2778,0.3333,0.0128,0.0000
5,20,1000,6,2,10,med2,srnj,0.0137,0.1111,0.1111,0.0038,0.0000
5,20,1000,6,2,10,sconce2,srnjmaxlca,0.0114,0.1111,0.1111,0.0030,0.0000
5,20,1000,6,2,10,med2,srnjmaxlca,0.0475,0.2222,0.2778,0.0143,0.0000
5,50,1000,6,2,10,sconce2,nj,0.0249,0.1250,0.1250,0.2125,0.0000
5,50,1000,6,2,10,med2,nj,0.0368,0.1667,0.2708,0.0143,0.0000
5,50,1000,6,2,10,sconce2,snj,0.0171,0.0833,0.0625,0.2095,0.0000
5,50,1000,6,2,10,med2,snj,0.0356,0.1667,0.2708,0.0139,0.0000
5,50,1000,6,2,10,sconce2,rnj,0.0073,0.0417,0.0417,0.0029,0.0000
5,50,1000,6,2,10,med2,rnj,0.0072,0.1875,0.2292,0.0019,0.0000
5,50,1000,6,2,10,sconce2,anj,0.0186,0.1042,0.1042,0.2099,0.0000
5,50,1000,6,2,10,med2,anj,0.0067,0.1667,0.2083,0.0018,0.0000
5,50,1000,6,2,10,sconce2,fastme,0.0224,0.0625,0.0417,0.2118,0.0000
5,50,1000,6,2,10,med2,fastme,0.0056,0.1250,0.1458,0.0015,0.0000
5,50,1000,6,2,10,sconce2,srnj1,0.0683,0.3125,0.3542,0.0574,0.1250
5,50,1000,6,2,10,med2,srnj1,0.0913,0.4167,0.6875,0.0576,0.0000
5,50,1000,6,2,10,sconce2,srnj,0.0348,0.1667,0.2083,0.0131,0.0000
5,50,1000,6,2,10,med2,srnj,0.0183,0.2292,0.2917,0.0060,0.0000
5,50,1000,6,2,10,sconce2,srnjmaxlca,0.2004,0.3958,0.7917,0.3156,0.1250
5,50,1000,6,2,10,med2,srnjmaxlca,0.0159,0.1875,0.2500,0.0058,0.0000
6,20,1000,6,2,10,sconce2,nj,0.0739,0.1111,0.2222,0.0256,0.0000
6,20,1000,6,2,10,med2,nj,0.0391,0.0556,0.1111,0.0135,0.0000
6,20,1000,6,2,10,sconce2,snj,0.0739,0.1111,0.2222,0.0256,0.0000
6,20,1000,6,2,10,med2,snj,0.0448,0.1111,0.1667,0.0150,0.0000
6,20,1000,6,2,10,sconce2,rnj,0.0739,0.1111,0.2222,0.0256,0.0000
6,20,1000,6,2,10,med2,rnj,0.0404,0.1111,0.1667,0.0135,0.0000
6,20,1000,6,2,10,sconce2,anj,0.0739,0.1111,0.2222,0.0256,0.0000
6,20,1000,6,2,10,med2,anj,0.0404,0.1111,0.1667,0.0135,0.0000
