n_cells,seed,method,est_time,num_calls
500,14,srnj,4525.96455496,45255
500,14,srnj_maxlca,4641.46591292,46410
500,14,snj,9957.67006858,99561
500,15,nj,12475.34817400,124750
500,15,dlca_nj,12475.03776437,124750
500,15,srnj1,845.79766583,8454
500,15,srnj,4979.29246613,49788
500,15,srnj_maxlca,5089.50032462,50890
500,15,snj,10045.39438950,100439
500,16,nj,12475.34564908,124750
500,16,dlca_nj,12475.03758562,124750
500,16,srnj1,821.18437200,8208
500,16,srnj,5302.89244046,53022
500,16,srnj_maxlca,5203.59014771,52031
500,16,snj,9988.76678571,99872
500,17,nj,12475.34636287,124750
500,17,dlca_nj,12475.03787471,124750
500,17,srnj1,795.57317404,7952
500,17,srnj,5171.57214342,51711
500,17,srnj_maxlca,5098.77234725,50982
500,17,snj,10029.58076950,100280
500,18,nj,12475.34645679,124750
500,18,dlca_nj,12475.03693954,124750
500,18,srnj1,832.65846958,8322
500,18,srnj,6018.97227125,60182
500,18,srnj_maxlca,5946.55066908,59460
500,18,snj,9926.14221263,99246
500,19,nj,12475.45235517,124750
500,19,dlca_nj,12475.03953150,124750
500,19,srnj1,838.18781804,8378
500,19,srnj,5171.68251346,51712
500,19,srnj_maxlca,5118.68511875,51182
500,19,snj,9936.78091233,99352
1000,0,srnj1,1971.66090038,19695
1000,0,srnj,14829.79915638,148277
1000,0,snj,35717.13737900,357118
1000,1,srnj1,1973.41432200,19718
1000,1,srnj,15821.67028258,158197
1000,1,snj,35722.48534596,357173
1000,2,srnj1,1926.24881558,19248
1000,2,srnj,16102.98015917,161011
1000,2,snj,35954.55539883,359490
1000,3,srnj1,1936.96274700,19355
1000,3,srnj,14559.70280979,145578
1000,3,snj,35811.77484813,358064
1000,4,srnj1,1974.67765246,19727
1000,4,srnj,18815.52410375,188128
1000,4,snj,36245.60970162,362399
1000,5,srnj1,1923.70133979,19218
1000,5,srnj,15986.96793413,159850
1000,5,snj,35786.99862033,357767
1000,6,srnj1,1959.77149579,19581
1000,6,srnj,15060.72006262,150584
1000,6,snj,35940.37941992,359344
1000,7,srnj1,1939.88334450,19384
1000,7,srnj,17063.88050329,170615
1000,7,snj,35981.39012833,359748
1000,8,srnj1,1930.69990046,19277
1000,8,srnj,17556.60065042,175542
1000,8,snj,35815.01440817,358090
1000,9,srnj1,1912.84979787,19114
1000,9,srnj,15668.71243521,156663
1000,9,snj,36026.96029992,360214
1000,10,srnj1,1902.22388800,19003
1000,10,srnj,17140.64106821,171384
1000,10,snj,35712.64375979,357074
1000,11,srnj1,1886.08976475,18847
1000,11,srnj,15191.21295537,151893
1000,11,snj,36085.36556875,360796
1000,12,srnj1,1907.24948308,19059
1000,12,srnj,15832.50734233,158305
1000,12,snj,35985.26957771,359797
1000,13,srnj1,1928.99707154,19267
1000,13,srnj,18246.52756654,182439
1000,13,snj,35916.47649633,359114
1000,14,srnj1,1944.83461371,19433
1000,14,srnj,14501.31225058,144992
1000,14,snj,36044.36882142,360372
1000,15,srnj1,1858.11338546,18563
1000,15,srnj,18223.21558625,182207
1000,15,snj,36133.96156367,361286
1000,16,srnj1,1954.14532200,19527
1000,16,srnj,16267.06680167,162650
1000,16,snj,35923.23020650,359177
1000,17,srnj1,1908.36885279,19058
1000,17,srnj,18140.69998438,181381
1000,17,snj,35777.36745592,357719
1000,18,srnj1,1922.55536192,19211
1000,18,srnj,15299.08747163,152967
1000,18,snj,36061.84907908,360562
1000,19,srnj1,1941.33846242,19399
1000,19,srnj,16750.91196654,167488
1000,19,snj,35779.59763633,357741
20,0,fastme,21.47492671,190
20,0,anj,19.00313479,190
20,1,fastme,21.01892708,190
20,1,anj,19.00238363,190
20,2,fastme,21.04693033,190
20,2,anj,19.00229567,190
20,3,fastme,21.02666417,190
20,3,anj,19.00233404,190
20,4,fastme,21.05722838,190
20,4,anj,19.00230212,190
20,5,fastme,21.06799633,190
20,5,anj,19.00237717,190
20,6,fastme,22.99800371,190
20,6,anj,19.00334271,190
20,7,fastme,21.09142879,190
20,7,anj,19.00225983,190
20,8,fastme,21.31041004,190
20,8,anj,19.00266371,190
20,9,fastme,21.12564408,190
20,9,anj,19.00222092,190
20,10,fastme,21.09237938,190
20,10,anj,19.00258187,190
20,11,fastme,21.28798758,190
20,11,anj,19.00233442,190
20,12,fastme,21.09188646,190
20,12,anj,19.00239767,190
20,13,fastme,21.22997554,190
20,13,anj,19.00273771,190
20,14,fastme,21.06915025,190
20,14,anj,19.00243371,190
20,15,fastme,21.08077188,190
20,15,anj,19.00258833,190
20,16,fastme,21.03225779,190
20,16,anj,19.00235096,190
20,17,fastme,21.01081967,190
20,17,anj,19.00235296,190
20,18,fastme,21.03977654,190
20,18,anj,19.00237858,190
20,19,fastme,21.19129867,190
20,19,anj,19.00278158,190
50,0,fastme,124.53795171,1225
50,0,anj,122.50612379,1225
50,1,fastme,124.57147725,1225
50,1,anj,122.50635171,1225
50,2,fastme,124.52816654,1225
50,2,anj,122.50623292,1225
50,3,fastme,124.65265733,1225
50,3,anj,122.50687575,1225
50,4,fastme,124.59675275,1225
50,4,anj,122.50625729,1225
50,5,fastme,124.72814262,1225
50,5,anj,122.50670796,1225
50,6,fastme,124.65100704,1225
50,6,anj,122.50703121,1225
50,7,fastme,124.55962012,1225
50,7,anj,122.50604700,1225
50,8,fastme,124.55133850,1225
50,8,anj,122.50669267,1225
50,9,fastme,124.57908004,1225
50,9,anj,122.50580958,1225
50,10,fastme,124.50122283,1225
50,10,anj,122.50631242,1225
50,11,fastme,124.72111417,1225
50,11,anj,122.50636425,1225
50,12,fastme,124.54881833,1225
50,12,anj,122.50618917,1225
50,13,fastme,124.54436396,1225
50,13,anj,122.50606525,1225
50,14,fastme,124.56451204,1225
50,14,anj,122.50683562,1225
50,15,fastme,124.57863012,1225
50,15,anj,122.50627796,1225
50,16,fastme,124.57322804,1225
50,16,anj,122.50639375,1225
50,17,fastme,124.86504579,1225
50,17,anj,122.50636804,1225
50,18,fastme,124.64659662,1225
50,18,anj,122.50929521,1225
50,19,fastme,124.95044642,1225
50,19,anj,122.50611412,1225
100,0,fastme,497.19319692,4950
100,0,anj,495.01650617,4950
